episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
88,370.0,441,52341,0.25,0.0766681778583337,196.4956304179999,True,False
89,320.0,361,52702,0.25,0.0705456297327247,197.77404553000008,True,False
90,440.0,543,53245,0.25,0.07298549655003145,199.6221633660001,True,False
91,650.0,660,53905,0.25,0.0722571726154649,201.83216832200003,True,False
92,1270.0,663,54568,0.25,0.07576683319050324,204.05105396700003,True,False
93,760.0,916,55484,0.25,0.0686264783835372,207.65270406699995,True,False
94,410.0,601,56085,0.25,0.06821415717403094,209.69147841300003,True,False
95,350.0,498,56583,0.25,0.07362235667214038,211.38155788000006,True,False
96,660.0,745,57328,0.25,0.0709364709250111,213.9369514430001,True,False
97,880.0,817,58145,0.25,0.06619311344134164,216.61796010699993,True,False
98,340.0,464,58609,0.25,0.06048170489194835,218.4899222360001,True,False
99,520.0,561,59170,0.25,0.069512126794351,220.81603135400007,True,False
100,840.0,651,59821,0.25,0.06939899909989966,222.98492002499995,True,False
